Item_Number,Condition,TrialType,SentenceType,Sentence,List
101,Speaker_noError,filler,filler,The helicopter hovered over the water.,8
102,Speaker_noError,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,8
103,Speaker_noError,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,8
104,Speaker_noError,filler,filler,The grandmother made a quilt for her granddaughter.,8
105,Speaker_noError,filler,filler,The travel agent reserved a flight for the businessman.,8
106,Speaker_noError,filler,filler,A cat jumped onto the table.,8
107,Speaker_noError,filler,filler,The apprentice fetched a hammer for the carpenter.,8
108,Speaker_noError,filler,filler,The painting hung on the bedroom wall.,8
109,Speaker_noError,filler,filler,Some treasure was found in the cave.,8
110,Speaker_noError,filler,filler,The name was engraved on the ring.,8
111,Speaker_noError,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,8
112,Speaker_noError,filler,filler,The baby crawled into the hallway.,8
113,Speaker_noError,filler,filler,The train arrived at the station.,8
114,Speaker_noError,filler,filler,The seamstress made a dress for her client.,8
115,Speaker_noError,filler,filler,The father bought a bicycle for his son.,8
116,Speaker_noError,filler,filler,The hiker was rescued by a ranger who had been on patrol.,8
117,Speaker_noError,filler,filler,The ballet instructor encouraged her students to practice more.,8
118,Speaker_noError,filler,filler,The lawyer was insulted by the judge.,8
119,Speaker_noError,filler,filler,A flowering plant is on the window sill.,8
120,Speaker_noError,filler,filler,The secretary ordered some office supplies for the boss.,8
121,Speaker_noError,filler,filler,The runner trained for months before the marathon.,8
122,Speaker_noError,filler,filler,The TA was criticized by the professor.,8
123,Speaker_noError,filler,filler,The athlete was treated by a nurse who had been listening to music.,8
124,Speaker_noError,filler,filler,The marathoner ran into the stadium.,8
125,Speaker_noError,filler,filler,The receptionist saved some cake for her co-worker.,8
126,Speaker_noError,filler,filler,The dog trainer taught the puppy to roll over.,8
127,Speaker_noError,filler,filler,The astronaut accepted the mission.,8
128,Speaker_noError,filler,filler,The girl was pushed by the boy.,8
129,Speaker_noError,filler,filler,The defendant's name was written on the check.,8
130,Speaker_noError,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,8
