Item_Number,Condition,TrialType,SentenceType,Sentence,List
51,Speaker_Error,exposure,deletion,The pirate stole the booty an officer.,1
52,Speaker_Error,exposure,deletion,The supplier described a scenario the class after explaining basic concepts.,1
53,Speaker_Error,exposure,deletion,The trainer filled a bag with ice the injured client.,1
54,Speaker_Error,exposure,deletion,The commissioner wrote a report the chairman.,1
55,Speaker_Error,exposure,deletion,The paramedic helped an invalid the brick building.,1
56,Speaker_Error,exposure,deletion,The rioter stapled the sign a bulletin board in the corridor.,1
57,Speaker_Error,exposure,deletion,The beekeeper selected a honeycomb carefully a hive of swarming bees.,1
58,Speaker_Error,exposure,insertion,The surgeon called for a nurse to from assist him with the operation.,1
59,Speaker_Error,exposure,insertion,A socialite was and greeted by the butler with a plate of caviar.,1
60,Speaker_Error,exposure,insertion,The performer lifted the acrobat onto a her shoulders gracefully.,1
61,Speaker_Error,exposure,insertion,The presenter was criticized by a legislator for because of his speech impediment.,1
62,Speaker_Error,exposure,insertion,A bystander was rescued by the fireman to in the nick of time.,1
63,Speaker_Error,exposure,insertion,The trucker ordered a bartender to bring him onto a beer.,1
64,Speaker_Error,exposure,insertion,The translator found a car for the ambassador because he or could not speak Lebanese.,1
65,Speaker_Error,exposure,swap,The colonel was knighted by the queen loyalty of his because.,1
66,Speaker_Error,exposure,swap,The principal commended a parent for her motivate to ability her child.,1
67,Speaker_Error,exposure,swap,The Vikings raided a search in village of the warrior.,1
68,Speaker_Error,exposure,swap,The toddler hugged a teddybear scared because he was.,1
69,Speaker_Error,exposure,swap,The choreographer found a film starring the musical in the lead.,1
70,Speaker_Error,exposure,swap,The runner filled a bottle with cold water tap.,1
